Biosample_RunID	Reads	Bases	Avg_Length
SAMEA7723894_ERR5003659	335854	49697972	147.9749296
SAMEA7723482_ERR5003974	337736	50262198	148.8209667
SAMEA7724156_ERR5003805	338610	50372259	148.7618765
SAMEA7723501_ERR5004025	338870	50388532	148.6957594
SAMEA7723475_ERR5003960	340230	50613232	148.7618141
SAMEA7723393_ERR5004373	341494	50756997	148.632178
SAMEA7723501_ERR5004812	344900	51313122	148.7768107
SAMEA7723502_ERR5004813	347882	51759191	148.7837571
SAMEA7724156_ERR5004592	351582	52325785	148.8295334
SAMEA7723894_ERR5004446	356704	52813951	148.0610002
SAMEA7724222_ERR5001936	359160	53776455	149.728408
SAMEA7723475_ERR5004747	359416	53491458	148.8288167
SAMEA7724214_ERR5004688	360460	53519357	148.4751623
SAMEA7724244_ERR5004794	363616	54033248	148.5997536
SAMEA7723887_ERR5003639	364768	54250250	148.7253542
SAMEA7724263_ERR5002039	365510	54694704	149.6394189
SAMEA7724222_ERR5003215	374076	56018196	149.7508421
SAMEA7723967_ERR5004027	377736	55862743	147.8883215
SAMEA7723887_ERR5004426	380046	56546694	148.7890782
SAMEA7723537_ERR5005333	380464	56619810	148.8177857
SAMEA7724146_ERR5005191	382128	56815209	148.6810938
SAMEA7723851_ERR5003584	383214	56980016	148.6898078
SAMEA7724243_ERR5002019	383380	57384292	149.6799311
SAMEA7724263_ERR5003318	383586	57409298	149.6647375
SAMEA7723655_ERR5005246	394008	57500855	145.9382931
SAMEA7723967_ERR5004814	394412	58356689	147.9587056
SAMEA7724125_ERR5004503	395642	58749805	148.4923365
SAMEA7724243_ERR5003298	399220	59767121	149.7097365
SAMEA7723894_ERR5001809	401922	59908935	149.0561228
SAMEA7724193_ERR5004667	403868	59860106	148.2170065
SAMEA7724307_ERR5004148	404138	60074688	148.6489466
SAMEA7723851_ERR5004371	407018	60539257	148.7385251
SAMEA7724320_ERR5004161	410726	61028566	148.5870532
SAMEA7723894_ERR5003088	418018	62317437	149.0783579
SAMEA7723736_ERR5002229	427918	63684661	148.82445
SAMEA7723736_ERR5003508	430708	64109673	148.8471842
SAMEA7723424_ERR5003671	436064	64587632	148.115029
SAMEA7723413_ERR5001802	438382	65602505	149.6468947
SAMEA7723413_ERR5003081	445190	66627459	149.6607269
SAMEA7724216_ERR5003903	446064	66266742	148.5588212
SAMEA7724253_ERR5004017	448498	66614064	148.5270035
SAMEA7723419_ERR5003662	452042	66931694	148.0652108
SAMEA7724320_ERR5004948	456644	67878875	148.6472504
SAMEA7723877_ERR5001775	458856	68447475	149.1698376
SAMEA7724108_ERR5003699	458970	68101788	148.3796065
SAMEA7723630_ERR5005202	464350	69068165	148.7416065
SAMEA7723508_ERR5003349	469468	70186582	149.5023772
SAMEA7723424_ERR5004458	472996	70087815	148.1784518
SAMEA7724216_ERR5004690	473798	70418805	148.6262183
SAMEA7723419_ERR5004449	477374	70718518	148.1406989
SAMEA7723495_ERR5003993	480062	71445595	148.8257663
SAMEA7723877_ERR5003054	480406	71651054	149.1468758
SAMEA7724171_ERR5003841	489848	72460823	147.9251176
SAMEA7723495_ERR5004780	499382	74345353	148.8747151
SAMEA7724171_ERR5004628	506044	74884579	147.9803713
SAMEA7724108_ERR5004486	508798	75532412	148.4526512
SAMEA7723740_ERR5002239	525318	78607082	149.6371379
SAMEA7723550_ERR5002233	532294	79687973	149.7066903
SAMEA7723971_ERR5004086	534888	79526092	148.6780261
SAMEA7724248_ERR5004011	540100	80065389	148.2417867
