Biosample	Reads	Bases
SAMEA7724041	2793700	417466819
SAMEA7723622	2776712	404828741
SAMEA7723424	2771914	412674284
SAMEA7724003	2735854	409129197
SAMEA7724379	2673868	397211415
SAMEA7724064	2658350	394947715
SAMEA7724255	2641880	393516731
SAMEA7723413	2596240	386790560
SAMEA7723941	2587130	386274367
SAMEA7724381	2581664	383766604
SAMEA7724295	2564718	382884165
SAMEA7724281	2562222	383325148
SAMEA7724149	2510342	373364191
SAMEA7723630	2510328	373089086
SAMEA7723641	2478048	368597661
SAMEA7724029	2427548	360657702
SAMEA7724129	2424188	360934785
SAMEA7723478	2396654	356305856
SAMEA7723644	2371382	352730634
SAMEA7724309	2361228	352353474
SAMEA7724001	2360826	353473956
SAMEA7724018	2316410	337987964
SAMEA7724380	2311328	343551415
SAMEA7724334	2309522	345781966
SAMEA7724243	2303048	342948362
SAMEA7723429	2273852	340301618
SAMEA7724002	2270728	339548503
SAMEA7724276	2248622	333971100
SAMEA7723871	2210040	330185032
SAMEA7723973	2172772	324993624
SAMEA7723421	2093468	311916975
SAMEA7724175	2075644	308943275
SAMEA7723552	2060878	307950765
SAMEA7723471	1960186	291667908
SAMEA7723636	1934542	287599955
SAMEA7724263	1918298	285636944
SAMEA7724372	1896844	282068714
SAMEA7724192	1871420	272011233
SAMEA7724320	1859646	277532795
SAMEA7724171	1852832	274141041
SAMEA7724214	1841422	274766447
SAMEA7724384	1679634	249871942
SAMEA7723955	1668730	248762912
SAMEA7724373	1594224	237119122
SAMEA7723894	1512498	224738295
SAMEA7723867	1504126	224667257
SAMEA7724341	1462294	218793544
SAMEA7723959	1406736	210248792
SAMEA7723686	1392588	208304565
SAMEA7723735	1390226	206259452
SAMEA7724156	1298232	193189705
SAMEA7723659	1255608	186672197
SAMEA7723726	1213018	180224882
SAMEA7723946	1200344	179392595
SAMEA7724258	1192454	178316724
SAMEA7723964	1100968	164648592
SAMEA7723495	979444	145790948
SAMEA7723509	978614	145858952
SAMEA7724222	971486	145161635
SAMEA7723877	939262	140098529
SAMEA7723736	863706	128547728
SAMEA7724054	779400	113138875
SAMEA7724146	772464	114850186
SAMEA7723501	683770	101701654
SAMEA7723502	683068	101610425
SAMEA7724141	670772	99745384
SAMEA7723393	662270	98411639
SAMEA7723939	639016	94934569
SAMEA7723549	633944	94664341
SAMEA7723655	594788	86823347
SAMEA7723557	585594	86946664
SAMEA7723537	566970	84369343
SAMEA7723740	561702	84018229
SAMEA7723637	527372	78481384
SAMEA7723653	513606	76319025
SAMEA7724045	512650	76523984
SAMEA7724329	504552	74997723
SAMEA7723901	448028	66483544
SAMEA7724142	443412	65950967
SAMEA7724339	433660	64504166
SAMEA7723553	427096	63469444
SAMEA7724193	403868	59860106
SAMEA7724125	395642	58749805
SAMEA7724297	385574	57360309
SAMEA7724155	371814	55309804
SAMEA7724244	363616	54033248
